Scopus-22896-Analyze-Subject

"Your query : ((TITLE-ABS-KEY(""information assurance"") OR TITLE-ABS-KEY(""information security"") OR TITLE-ABS-KEY(c*bersecurity)))"


Number of results : 22896

"SUBJECT AREA",
"Computer Science","16388"
"Engineering","9177"
"Social Sciences","3406"
"Mathematics","3122"
"Decision Sciences","2403"
"Business, Management and Accounting","1894"
"Physics and Astronomy","1209"
"Energy","1008"
"Materials Science","814"
"Medicine","765"
"Economics, Econometrics and Finance","520"
"Environmental Science","386"
"Arts and Humanities","255"
"Psychology","252"
"Chemical Engineering","215"
"Biochemistry, Genetics and Molecular Biology","192"
"Chemistry","190"
"Earth and Planetary Sciences","165"
"Multidisciplinary","163"
"Health Professions","134"
"Agricultural and Biological Sciences","77"
"Neuroscience","46"
"Pharmacology, Toxicology and Pharmaceutics","45"
"Nursing","43"
"Immunology and Microbiology","10"
"Dentistry","2"
"Undefined","2"
